# Specify sampling grid in the release field. Use comma delimited format.
# Columns are:
# x (m E from release), y (m N from release), m^2 sampled, leaves sampled, leaves collected
200, 300, 1, 90, 18
200, 250, 9, 270, 162
200, 200, 1, 90, 18
200, 150, 1, 90, 18
200, 100, 1, 90, 18
200, 50, 1, 90, 18
150, 300, 9, 270, 162
150, 250, 1, 90, 18
150, 200, 1, 90, 18
150, 150, 9, 270, 162
150, 100, 1, 90, 18
150, 50, 1, 90, 18
150, 0, 1, 90, 18
100, 300, 1, 90, 18
100, 250, 1, 90, 18
100, 200, 9, 270, 162
100, 150, 9, 270, 162
100, 100, 1, 90, 18
100, 50, 1, 90, 18
100, 0, 9, 270, 162
100, -50, 1, 90, 18
100, -100, 1, 90, 18
50, 300, 9, 270, 162
50, 250, 1, 90, 18
50, 200, 1, 90, 18
50, 150, 1, 90, 18
50, 100, 1, 90, 18
50, 50, 1, 90, 18
50, 0, 1, 90, 18
50, -50, 1, 90, 18
50, -100, 9, 270, 162
0, 300, 1, 90, 18
0, 250, 1, 90, 18
0, 200, 9, 270, 162
0, 150, 1, 90, 18
0, 100, 9, 270, 162
0, 50, 9, 270, 162
0, 0, 1, 90, 18
0, -50, 1, 90, 18
0, -100, 1, 90, 18
-50, 300, 1, 90, 18
-50, 250, 9, 270, 162
-50, 200, 1, 90, 18
-50, 150, 1, 90, 18
-50, 100, 9, 270, 162
-50, 50, 1, 90, 18
-50, 0, 1, 90, 18
-50, -50, 9, 270, 162
-50, -100, 9, 270, 162
-100, 300, 1, 90, 18
-100, 250, 9, 270, 162
-100, 200, 1, 90, 18
-100, 150, 9, 270, 162
-100, 100, 1, 90, 18
-100, 50, 1, 90, 18
-100, 0, 9, 270, 162
-100, -50, 1, 90, 18
-100, -100, 1, 90, 18
-150, 300, 9, 270, 162
-150, 250, 1, 90, 18
-150, 200, 9, 270, 162
-150, 150, 1, 90, 18
-150, 100, 1, 90, 18
-150, 50, 9, 270, 162
-150, 0, 1, 90, 18
-150, -50, 1, 90, 18
-150, -100, 1, 90, 18
-200, 300, 9, 270, 162
-200, 250, 1, 90, 18
-200, 200, 1, 90, 18
-200, 150, 1, 90, 18
-200, 100, 1, 90, 18
-200, 50, 9, 270, 162
-200, 0, 1, 90, 18
-200, -50, 9, 270, 162
-200, -100, 1, 90, 18
