Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
    Total Requested Memory :                     45.96 GB
    Delta Memory :                               -
    Max Swap :                                   13 GB
    Max Processes :                              15
    Max Threads :                                20
    Run time :                                   49226 sec.
    Turnaround time :                            49231 sec.

The output (if any) follows:

Setting up parameters and priors...
Getting initial model values...
34.5 sec./model at 12:30:32 08/08/2016
Parsing model output and connecting to Bayesian model...
Fitting....
34.3 sec./model at 12:31:10 08/08/2016
34.4 sec./model at 12:31:45 08/08/2016
34.4 sec./model at 12:32:19 08/08/2016
34.4 sec./model at 12:32:54 08/08/2016
34.4 sec./model at 12:33:28 08/08/2016
34.5 sec./model at 12:34:03 08/08/2016
34.5 sec./model at 12:34:37 08/08/2016
34.5 sec./model at 12:35:12 08/08/2016
34.4 sec./model at 12:35:46 08/08/2016
34.5 sec./model at 12:36:21 08/08/2016
34.4 sec./model at 12:36:55 08/08/2016
34.4 sec./model at 12:37:29 08/08/2016
34.6 sec./model at 12:38:04 08/08/2016
34.4 sec./model at 12:38:38 08/08/2016
34.4 sec./model at 12:39:13 08/08/2016
34.5 sec./model at 12:39:47 08/08/2016
34.4 sec./model at 12:40:22 08/08/2016
34.4 sec./model at 12:40:56 08/08/2016
34.4 sec./model at 12:41:31 08/08/2016
34.4 sec./model at 12:42:05 08/08/2016
34.4 sec./model at 12:42:39 08/08/2016
34.4 sec./model at 12:43:14 08/08/2016
34.5 sec./model at 12:43:48 08/08/2016
34.4 sec./model at 12:44:23 08/08/2016
34.5 sec./model at 12:44:57 08/08/2016
34.5 sec./model at 12:45:32 08/08/2016
34.4 sec./model at 12:46:06 08/08/2016
34.5 sec./model at 12:46:41 08/08/2016
34.4 sec./model at 12:47:15 08/08/2016
34.4 sec./model at 12:47:50 08/08/2016
34.4 sec./model at 12:48:24 08/08/2016
34.4 sec./model at 12:48:58 08/08/2016
34.4 sec./model at 12:49:33 08/08/2016
34.5 sec./model at 12:50:07 08/08/2016
34.5 sec./model at 12:50:42 08/08/2016
34.5 sec./model at 12:51:16 08/08/2016
34.4 sec./model at 12:51:51 08/08/2016
34.3 sec./model at 12:52:25 08/08/2016
34.4 sec./model at 12:53:00 08/08/2016
34.5 sec./model at 12:53:34 08/08/2016
34.4 sec./model at 12:54:09 08/08/2016
34.4 sec./model at 12:54:43 08/08/2016
34.5 sec./model at 12:55:17 08/08/2016
34.5 sec./model at 12:55:52 08/08/2016
34.4 sec./model at 12:56:26 08/08/2016
34.5 sec./model at 12:57:01 08/08/2016
34.5 sec./model at 12:57:35 08/08/2016
34.4 sec./model at 12:58:10 08/08/2016
34.5 sec./model at 12:58:44 08/08/2016
34.4 sec./model at 12:59:19 08/08/2016
34.5 sec./model at 12:59:53 08/08/2016
34.4 sec./model at 13:00:28 08/08/2016
34.6 sec./model at 13:01:02 08/08/2016
34.5 sec./model at 13:01:37 08/08/2016
34.4 sec./model at 13:02:11 08/08/2016
34.5 sec./model at 13:02:46 08/08/2016
34.5 sec./model at 13:03:20 08/08/2016
34.5 sec./model at 13:03:55 08/08/2016
34.4 sec./model at 13:04:29 08/08/2016
34.5 sec./model at 13:05:03 08/08/2016
34.4 sec./model at 13:05:38 08/08/2016
34.5 sec./model at 13:06:12 08/08/2016
34.5 sec./model at 13:06:47 08/08/2016
34.5 sec./model at 13:07:21 08/08/2016
34.4 sec./model at 13:07:56 08/08/2016
34.5 sec./model at 13:08:30 08/08/2016
30.2 sec./model at 13:09:00 08/08/2016
19.0 sec./model at 13:09:19 08/08/2016
14.9 sec./model at 13:09:34 08/08/2016
19.0 sec./model at 13:09:53 08/08/2016
12.6 sec./model at 13:10:06 08/08/2016
22.5 sec./model at 13:10:29 08/08/2016
15.8 sec./model at 13:10:44 08/08/2016
15.8 sec./model at 13:11:00 08/08/2016
15.8 sec./model at 13:11:16 08/08/2016
13.0 sec./model at 13:11:29 08/08/2016
15.8 sec./model at 13:11:45 08/08/2016
15.8 sec./model at 13:12:01 08/08/2016
15.8 sec./model at 13:12:17 08/08/2016
15.8 sec./model at 13:12:32 08/08/2016
15.8 sec./model at 13:12:48 08/08/2016
15.8 sec./model at 13:13:04 08/08/2016
15.8 sec./model at 13:13:20 08/08/2016
15.8 sec./model at 13:13:36 08/08/2016
15.8 sec./model at 13:13:51 08/08/2016
15.8 sec./model at 13:14:07 08/08/2016
15.9 sec./model at 13:14:23 08/08/2016
15.8 sec./model at 13:14:39 08/08/2016
15.8 sec./model at 13:14:55 08/08/2016
15.8 sec./model at 13:15:11 08/08/2016
15.9 sec./model at 13:15:26 08/08/2016
15.8 sec./model at 13:15:42 08/08/2016
15.8 sec./model at 13:15:58 08/08/2016
15.8 sec./model at 13:16:14 08/08/2016
15.8 sec./model at 13:16:30 08/08/2016
15.8 sec./model at 13:16:46 08/08/2016
15.8 sec./model at 13:17:01 08/08/2016
15.8 sec./model at 13:17:17 08/08/2016
15.8 sec./model at 13:17:33 08/08/2016
15.8 sec./model at 13:17:49 08/08/2016
15.8 sec./model at 13:18:05 08/08/2016
15.8 sec./model at 13:18:21 08/08/2016
15.8 sec./model at 13:18:36 08/08/2016
15.8 sec./model at 13:18:52 08/08/2016
15.8 sec./model at 13:19:08 08/08/2016
15.8 sec./model at 13:19:24 08/08/2016
15.8 sec./model at 13:19:40 08/08/2016
15.8 sec./model at 13:19:55 08/08/2016
15.8 sec./model at 13:20:11 08/08/2016
15.8 sec./model at 13:20:27 08/08/2016
15.8 sec./model at 13:20:43 08/08/2016
15.8 sec./model at 13:20:59 08/08/2016
15.8 sec./model at 13:21:15 08/08/2016
15.9 sec./model at 13:21:30 08/08/2016
15.8 sec./model at 13:21:46 08/08/2016
15.8 sec./model at 13:22:02 08/08/2016
15.8 sec./model at 13:22:18 08/08/2016
15.8 sec./model at 13:22:34 08/08/2016
15.8 sec./model at 13:22:49 08/08/2016
15.8 sec./model at 13:23:05 08/08/2016
